"gene_id","gene_name","gene_type","baseMean","log2FoldChange","padj"
"ENSG00000099953.10","MMP11","protein_coding",15466.1052112746,6.11089689313182,0
"ENSG00000123500.10","COL10A1","protein_coding",6348.4671967386,7.56409322140956,0
"ENSG00000230838.1","LINC01614","lncRNA",251.325434350897,6.53597576624307,3.74715840902969e-272
"ENSG00000119771.15","KLHL29","protein_coding",887.358716107549,-2.99097994182827,2.23748265149601e-238
"ENSG00000060718.22","COL11A1","protein_coding",8779.27723225039,6.09024397891923,5.74939535254567e-234
"ENSG00000165197.5","VEGFD","protein_coding",992.774837707311,-5.72399354604589,6.52204538381528e-229
"ENSG00000137745.12","MMP13","protein_coding",1397.69277560394,7.29424647857208,2.97742480094963e-212
"ENSG00000203805.11","PLPP4","protein_coding",315.199054959733,5.56901864630361,7.92741568261271e-212
"ENSG00000249669.10","CARMN","lncRNA",2402.11664982411,-3.90097831739689,4.06484325731727e-203
"ENSG00000117650.13","NEK2","protein_coding",897.65296245972,4.54818812773223,2.60090030520921e-202
"ENSG00000241684.6","ADAMTS9-AS2","lncRNA",206.652809381242,-3.60514457915278,4.15293307351171e-200
"ENSG00000154736.6","ADAMTS5","protein_coding",3930.4180384093,-3.14436244711574,8.85484392887938e-200
"ENSG00000122641.11","INHBA","protein_coding",3412.8263229795,3.70557588793558,3.83415915812439e-199
"ENSG00000137225.13","CAPN11","protein_coding",241.232506635451,-3.0381033906282,9.925492462928e-198
"ENSG00000090889.12","KIF4A","protein_coding",967.222908320622,4.05196990697424,2.09968332697587e-196
"ENSG00000167434.10","CA4","protein_coding",700.42808421223,-7.10540679815526,9.50416786103487e-195
"ENSG00000286289.1","AL133482.1","lncRNA",253.937930369228,-3.18787379494209,2.16516544995611e-189
"ENSG00000119147.10","ECRG4","protein_coding",993.229829452007,-5.04317898622246,3.56633019193603e-179
"ENSG00000081041.9","CXCL2","protein_coding",861.850063973985,-4.67492654880405,1.53895993318291e-175
"ENSG00000136158.12","SPRY2","protein_coding",2282.28510378654,-2.64392541329127,2.02172391541432e-175
